name,phone,email,location,roof_type,issue,urgency,insurance_status,inspection_timing,message,lead_score,lead_temperature,assigned_contractor,status
Jason Green,3035552211,jgreen@gmail.com,Denver CO,Shingle,Hail damage,High,Yes,ASAP,Insurance claim hail damage,92,HOT,Denver Roofing Co,Inspection Booked
Eric Adams,7025554455,eadams@gmail.com,Las Vegas NV,Tile,Roof replacement,Low,No,Next month,Planning roof replacement,47,COLD,Vegas Roofing,New
Matthew Baker,4695557788,mbaker@gmail.com,Dallas TX,Shingle,Roof leak,Medium,No,This week,Leak in bedroom ceiling,64,WARM,Dallas Roofing Co,Contacted
Justin Carter,8325553322,jcarter@gmail.com,Houston TX,Flat,Roof repair,Medium,No,Next week,Flat roof membrane issue,56,WARM,Houston Roofing Group,New
Brandon Evans,8175559090,bevans@gmail.com,Fort Worth TX,Shingle,Storm damage,High,Yes,ASAP,Wind damaged shingles,87,HOT,Fort Worth Roofing,Inspection Booked
Nicholas Turner,2145551111,nturner@gmail.com,Dallas TX,Metal,Roof inspection,Low,No,Next month,Pre-sale inspection,41,COLD,Dallas Roofing Co,New
Kyle Parker,5125552222,kparker@gmail.com,Austin TX,Shingle,Roof repair,Medium,No,This week,Minor leak repair needed,61,WARM,Austin Roof Pros,Contacted
Sean Edwards,7135553333,sedwards@gmail.com,Houston TX,Tile,Roof leak,High,Yes,ASAP,Leak after heavy rain,85,HOT,Houston Roofing Group,Inspection Booked
Gregory Collins,6025554444,gcollins@gmail.com,Phoenix AZ,Flat,Roof replacement,Low,No,Next month,Commercial flat roof replacement,49,COLD,Phoenix Roof Repair,New
Patrick Stewart,4805555555,pstewart@gmail.com,Mesa AZ,Tile,Roof repair,Medium,No,Next week,Tile repair needed,57,WARM,Arizona Roofing,New
Frank Rogers,3035556666,frogers@gmail.com,Denver CO,Shingle,Hail damage,High,Yes,ASAP,Insurance hail claim,90,HOT,Denver Roofing Co,Contacted
Henry Morris,7025557777,hmorris@gmail.com,Las Vegas NV,Tile,Roof inspection,Low,No,Next month,Routine inspection,43,COLD,Vegas Roofing,New
Dylan Reed,4695558888,dreed@gmail.com,Dallas TX,Shingle,Roof repair,Medium,No,This week,Leak near vent pipe,65,WARM,Dallas Roofing Co,New
Austin Cook,8325559999,acook@gmail.com,Houston TX,Flat,Roof leak,High,No,ASAP,Warehouse roof leaking,83,HOT,Houston Roofing Group,Inspection Booked
Zachary Bell,8175551010,zbell@gmail.com,Fort Worth TX,Shingle,Roof replacement,Low,No,Next month,Quote for replacement,46,COLD,Fort Worth Roofing,New
Aaron Bailey,2145552020,abailey@gmail.com,Dallas TX,Metal,Roof repair,Medium,No,Next week,Metal flashing repair,58,WARM,Dallas Roofing Co,Contacted
Jose Ramirez,5125553030,jramirez@gmail.com,Austin TX,Shingle,Storm damage,High,Yes,ASAP,Storm damage insurance claim,88,HOT,Austin Roof Pros,Inspection Booked
Luis Torres,7135554040,ltorres@gmail.com,Houston TX,Tile,Roof leak,Medium,No,This week,Leak after rainstorm,63,WARM,Houston Roofing Group,New
Carlos Rivera,6025555050,crivera@gmail.com,Phoenix AZ,Flat,Roof repair,Medium,No,Next week,Flat roof repair needed,55,WARM,Phoenix Roof Repair,New
Jorge Flores,4805556060,jflores@gmail.com,Mesa AZ,Tile,Roof inspection,Low,No,Next month,Buying house inspection,44,COLD,Arizona Roofing,New
Miguel Gomez,3035557070,mgomez@gmail.com,Denver CO,Shingle,Hail damage,High,Yes,ASAP,Hail storm claim,91,HOT,Denver Roofing Co,Inspection Booked
Rafael Diaz,7025558080,rdiaz@gmail.com,Las Vegas NV,Tile,Roof repair,Medium,No,This week,Tile roof repair,60,WARM,Vegas Roofing,Contacted
Victor Cruz,4695559090,vcruz@gmail.com,Dallas TX,Shingle,Roof leak,High,No,ASAP,Leak in attic,84,HOT,Dallas Roofing Co,Inspection Booked
Oscar Ortiz,8325551112,oortiz@gmail.com,Houston TX,Flat,Roof replacement,Low,No,Next month,Flat roof replacement quote,47,COLD,Houston Roofing Group,New
